,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
visa-candle,84.82,89.91,0.00,77.82,6.39,0.00
visa-capsules,54.00,65.61,0.00,76.92,1.46,0.00
visa-cashew,65.54,86.29,0.00,80.82,8.32,0.00
visa-chewinggum,83.52,96.59,0.00,83.72,30.26,0.00
visa-fryum,50.98,84.03,0.00,80.00,12.84,0.00
visa-macaroni1,55.46,56.82,0.00,66.67,0.45,0.00
visa-macaroni2,54.31,52.27,0.00,67.35,0.08,0.00
visa-pcb1,59.34,39.29,0.00,68.03,0.93,0.00
visa-pcb2,62.62,60.83,0.00,68.94,0.61,0.00
visa-pcb3,57.00,68.17,0.00,67.34,1.19,0.00
visa-pcb4,81.62,92.47,0.00,75.74,21.95,0.00
visa-pipe_fryum,83.48,93.96,0.00,84.21,22.76,0.00
