,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
visa-candle,84.85,91.11,0.00,78.57,8.46,0.00
visa-capsules,66.58,87.66,0.00,77.87,10.48,0.00
visa-cashew,69.90,92.18,0.00,81.55,13.20,0.00
visa-chewinggum,86.16,97.78,0.00,85.05,46.27,0.00
visa-fryum,70.20,91.38,0.00,81.90,20.16,0.00
visa-macaroni1,59.60,92.64,0.00,67.11,9.64,0.00
visa-macaroni2,61.18,84.94,0.00,68.82,0.85,0.00
visa-pcb1,77.84,89.21,0.00,78.18,7.21,0.00
visa-pcb2,59.92,87.65,0.00,67.34,4.07,0.00
visa-pcb3,51.18,88.81,0.00,66.67,3.47,0.00
visa-pcb4,88.86,95.61,0.00,82.13,25.50,0.00
visa-pipe_fryum,93.60,98.34,0.00,90.57,47.69,0.00
