k_shot,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
0,66.0575,73.85333333333334,0.0,74.79666666666667,8.936666666666667,0.0
1,69.355,89.8125,0.0,76.30333333333333,14.581666666666665,0.0
5,72.11916666666666,91.13166666666666,0.0,77.09333333333333,15.838333333333333,0.0
10,72.48916666666666,91.4425,0.0,77.14666666666666,16.416666666666668,0.0
